Number	Title	State	Merged	Created Date	Updated Date	Closed Date	User	Labels
30825	Update inline comment in ProxyTransactionManagementConfiguration	closed	False	2023-07-06 00:30:08	2023-07-06 09:55:37	2023-07-06 09:55:01	shin-mallang	['in: data', 'status: declined']
30820	Add missing @Nullable annotations in ContentDisposition.Builder	closed	False	2023-07-05 11:13:56	2023-07-11 23:25:22	2023-07-11 18:00:07	izeye	['in: web', 'type: enhancement']
30803	Use `Collections.emptyEnumeration` where appropriate	closed	False	2023-07-04 02:05:32	2023-07-05 13:23:36	2023-07-05 12:25:56	kilink	['type: task']
30798	Fix typo in Javadoc for `BeanDefinitionDsl.kt`	closed	False	2023-07-03 13:39:58	2023-07-03 13:54:36	2023-07-03 13:50:37	vbaidak	['type: documentation', 'in: core']
30793	Update inline comment in `ProxyTransactionManagementConfiguration`	closed	False	2023-07-02 23:21:08	2023-07-03 21:41:37	2023-07-03 13:38:54	shin-mallang	['in: data', 'status: declined']
30788	Allows JdkClientHttpRequest.DISALLOWED_HEADERS to be customized.	closed	False	2023-06-30 20:32:47	2023-07-03 10:44:18	2023-07-03 10:44:17	spencergibb	['in: web', 'type: enhancement']
30786	fix(Beans): support kotlin context receiver in constructor	open	False	2023-06-30 16:33:46	2023-06-30 16:38:20		alexismanin	['status: waiting-for-triage']
30785	Polish gh-30013	closed	True	2023-06-30 11:57:42	2023-06-30 12:12:40	2023-06-30 12:02:15	izeye	['type: task']
30776	Fix log level on error with @TransactionalEventListener	closed	True	2023-06-30 02:20:38	2023-06-30 10:49:00	2023-06-30 10:38:28	KSH-code	['in: data', 'status: backported', 'type: regression']
30772	Make BeanNameViewResolver extensible and introduce JavaConfigViewResolver	open	False	2023-06-29 06:49:59	2023-07-14 12:45:44		mdeinum	['in: web', 'type: enhancement', 'for: merge-with-amendments']
30762	Polish variable name in `ReschedulingRunnable`	closed	False	2023-06-28 02:13:39	2023-06-30 12:24:17	2023-06-30 12:23:09	quaff	['type: task']
30759	Ensure createDateTimeFormatterInOrderOfPropertyPriority test pass when openjdk version 21-ea	closed	False	2023-06-27 14:07:02	2023-06-28 03:05:42	2023-06-27 14:26:00	wyyl1	['status: declined', 'in: core']
30749	Code generation not applying shortcut if the target method is ambiguous	closed	False	2023-06-26 08:05:45	2023-07-12 15:25:59	2023-07-12 15:25:50	Devashish2293	['status: declined', 'theme: aot']
30746	Fix remove the side effect of ConstructorArgumentValues#addIndexedArgumentValue using deep-copy.	closed	False	2023-06-25 15:51:39	2023-07-24 08:02:33	2023-06-27 05:58:40	remeio	['status: declined', 'in: core']
30745	Improve documentation on inferred destruction callbacks	open	False	2023-06-25 09:54:47	2023-07-04 17:00:36		Nheyll	['status: waiting-for-triage', 'type: documentation', 'in: core']
30744	Increase code coverage in `spring-core` `serializer` package	closed	False	2023-06-25 09:37:55	2023-08-13 15:20:06	2023-08-13 15:08:25	devdilson	['type: task', 'in: core']
30743	Fix incomplete AssertJ assertions	closed	False	2023-06-24 15:46:47	2023-06-25 14:07:20	2023-06-25 13:39:31	izeye	['in: test', 'type: task', 'in: core']
30739	Update Reference Docs section in CONTRIBUTING.md	closed	False	2023-06-24 09:24:30	2023-07-15 19:05:06	2023-07-15 15:59:52	Nheyll	['type: documentation', 'status: superseded']
30737	Http interface client supports request metadata customization	closed	False	2023-06-24 04:28:29	2023-07-19 08:36:21	2023-07-19 08:36:08	DanielLiu1123	['status: declined']
30728	Add MultipartFileArgumentResolver for HTTP interface client	closed	False	2023-06-22 16:38:33	2023-06-27 09:52:43	2023-06-27 09:52:43	OlgaMaciaszek	['in: web', 'type: enhancement']
30724	Support [package-]private init/destroy methods in AOT mode	closed	False	2023-06-22 12:09:14	2023-07-02 16:01:26	2023-07-02 16:01:26	sbrannen	['type: bug', 'in: core', 'theme: aot']
30714	"Fix link text from ""null"" to ""Component Classes"" in Testing chapter"	closed	False	2023-06-21 11:18:25	2023-06-22 09:37:18	2023-06-22 09:36:28	antongub	['in: test', 'type: documentation']
30710	Use `Long.parseLong(CharSequence,int,int,int)` to avoid intermediate `String` creation	closed	False	2023-06-21 04:12:13	2023-08-01 08:26:13	2023-08-01 08:26:05	kilink	['in: web', 'in: core', 'type: enhancement']
30709	Introduce `getContentAsString()` in `ContentCachingRequestWrapper`	closed	False	2023-06-21 03:29:12	2023-08-23 08:24:27	2023-08-22 17:14:15	kilink	['in: web', 'type: enhancement']
30703	Add MultipartFile support for MultipartBuilder	closed	False	2023-06-20 12:18:37	2023-06-21 11:48:05	2023-06-21 11:48:05	OlgaMaciaszek	['status: waiting-for-triage']
30697	Stop using deprecated `AbstractArchiveTask.archivePath` in Gradle build	closed	False	2023-06-20 08:31:01	2023-07-03 15:20:47	2023-07-03 15:20:34	quaff	['type: task']
30696	Remove redundant assertion in `ReactorServerHttpResponse` constructor	closed	False	2023-06-20 04:56:21	2023-06-23 11:55:07	2023-06-23 11:54:16	kooixh	['in: web', 'type: task']
30691	Polish	closed	False	2023-06-19 15:41:53	2023-06-22 13:29:53	2023-06-22 13:17:09	izeye	['type: task']
30690	Upgrade to me.champeau.jmh 0.7.1	closed	False	2023-06-19 15:13:53	2023-06-22 10:14:55	2023-06-22 09:33:48	izeye	['type: dependency-upgrade']
30673	Upgrade to spring-doc-actions 0.0.8	closed	True	2023-06-14 20:48:35	2023-06-20 16:30:47	2023-06-19 13:48:41	rwinch	['type: task']
30671	Add possibility to escape property placeholders	open	False	2023-06-14 20:27:28	2023-06-14 20:28:22		bdshadow	['status: waiting-for-triage']
30669	Upgrade reference documentation to Spring Antora UI 0.3.0	closed	True	2023-06-14 18:49:27	2023-06-14 18:52:49	2023-06-14 18:52:49	rwinch	['type: task']
30668	Ensure Spring `LogFactory` contains all public methods from Apache `LogFactory`	closed	True	2023-06-14 12:49:34	2023-06-21 07:44:13	2023-06-21 07:29:59	maartenc	['status: backported', 'in: core', 'type: enhancement']
30659	Add Http headers support in getForEntity	open	False	2023-06-13 14:14:42	2023-06-13 14:18:22		kooixh	['status: waiting-for-triage']
30658	 Introduce `TestExecutionListener` for Micrometer's `ObservationRegistry` in the TestContext framework	closed	False	2023-06-13 14:07:09	2023-06-14 14:59:58	2023-06-14 12:47:53	marcingrzejszczak	['in: test', 'type: enhancement']
30654	Add support for `private` init/destroy methods in AOT mode	closed	False	2023-06-13 12:47:12	2023-06-22 13:31:16	2023-06-19 16:00:49	essobedo	['type: bug', 'status: superseded', 'theme: aot']
30651	Introduce `ObservationThreadLocalTestExecutionListener` in the TestContext framework	closed	False	2023-06-12 18:28:33	2023-06-13 14:31:25	2023-06-13 14:07:21	marcingrzejszczak	['in: test', 'type: enhancement', 'status: superseded']
30646	Fix markup issue in Javadoc of QuartzCronField	closed	False	2023-06-12 12:05:45	2023-06-27 12:01:32	2023-06-12 14:45:24	rweisleder	['type: documentation', 'in: core']
30636	Resolve default value when argument converts to null	closed	False	2023-06-11 16:23:48	2023-07-11 14:01:59	2023-07-11 14:01:48	Nheyll	['status: duplicate', 'in: web']
30624	Fix test fixture value in `QualifierConfiguration`	closed	False	2023-06-09 03:59:44	2023-06-09 09:05:13	2023-06-09 08:30:33	izeye	['type: task', 'in: core']
30620	Add missing @Nullable in DefaultJmsListenerContainerFactory	closed	False	2023-06-08 14:37:04	2023-06-08 16:20:12	2023-06-08 15:36:18	vpavic	['in: messaging', 'type: enhancement']
30619	Handle custom JMS acknowledgment modes as client acknowledge	closed	True	2023-06-08 14:24:08	2023-06-12 08:52:29	2023-06-12 08:46:23	vpavic	['in: messaging', 'type: enhancement']
30611	Remove LocalVariableTableParameterNameDiscoverer reference in doc	closed	True	2023-06-07 13:18:37	2023-06-07 13:55:38	2023-06-07 13:49:56	izeye	['type: task', 'in: core']
30609	Add missing Javadoc for `RegisteredBean.resolveAutowiredArgument()`	closed	False	2023-06-07 12:22:04	2023-06-08 14:08:50	2023-06-07 14:01:24	izeye	['type: documentation', 'in: core']
30601	PathResourceResolver#resolve*Internal is missing @Nullable declarations	closed	False	2023-06-06 09:11:24	2023-06-19 13:55:45	2023-06-19 13:47:48	cwatzl	['in: web', 'type: bug']
30599	Adding Reminder Information to websocket doc	open	False	2023-06-06 07:02:02	2023-06-06 07:03:18		heartape	['status: waiting-for-triage']
30598	Fix typo in `UriUtils` Javadoc	closed	False	2023-06-05 15:34:15	2023-07-07 13:06:01	2023-07-07 13:05:33	valfirst	['type: documentation', 'in: web']
30593	Fix example in Javadoc for `MultipartBodyBuilder`	closed	False	2023-06-05 06:34:26	2023-07-07 13:06:09	2023-07-07 13:05:34	heoYH	['type: documentation', 'in: web']
30587	Remove duplicate code in `RequestResponseBodyMethodProcessor`	closed	False	2023-06-03 07:57:47	2023-06-09 08:32:47	2023-06-07 17:28:24	luohongtu	['in: web', 'type: task']
30570	Fix invalid link in transaction resources	closed	False	2023-05-31 09:39:03	2023-05-31 10:27:38	2023-05-31 10:27:24	kihyuk-sung	['type: documentation']
30561	pull brach	closed	False	2023-05-30 13:15:01	2023-05-30 13:17:50	2023-05-30 13:17:42	luther94	['status: invalid']
30560	pull codes	closed	False	2023-05-30 12:12:23	2023-05-30 12:20:20	2023-05-30 12:20:11	luther94	['status: invalid']
30554	FileSystemUtils::deleteRecursively Javadoc refers to File instead of Path	closed	False	2023-05-29 20:51:49	2023-05-30 09:24:41	2023-05-30 07:16:10	scordio	['status: backported', 'type: documentation', 'in: core']
30546	Support parsing `long` dates in `InstantFormatter`	closed	True	2023-05-25 11:16:07	2023-06-03 15:32:47	2023-05-26 10:08:26	RemusRD	['in: core', 'type: enhancement']
